Lake,Year,Fish.Status
Bighorn,1966,Stocked
Bighorn,1968,Stocked
Bighorn,1971,Stocked
Bighorn,1972,Stocked
Bighorn,1977,Stocked
Bighorn,1991,Stocked
Bighorn,1992,Stocked
Bighorn,1994,Stocked
Bighorn,1995,Stocked
Bighorn,1996,Decline
Bighorn,1997,Decline
Bighorn,1998,Decline
Bighorn,1999,Decline
Bighorn,2000,Decline
Bighorn,2001,Decline
Bighorn,2002,Absent
Bighorn,2003,Absent
Bighorn,2004,Absent
Bighorn,2005,Absent
Bighorn,2006,Absent
Bighorn,2009,Absent
Bighorn,2013,Absent
Bighorn,2022,Absent
Harrison,1966,Stocked
Harrison,1967,Stocked
Harrison,1972,Stocked
Harrison,1977,Stocked
Harrison,1996,Stocked
Harrison,1997,Stocked
Harrison,1998,Stocked
Harrison,1999,Stocked
Harrison,2001,Stocked
Harrison,2002,Stocked
Harrison,2003,Stocked
Harrison,2004,Stocked
Harrison,2005,Stocked
Harrison,2006,Stocked
Harrison,2009,Stocked
Harrison,2015,Stocked
Harrison,2022,Stocked
Pipit,1966,Stocked
Pipit,1967,Stocked
Pipit,1968,Stocked
Pipit,1969,Stocked
Pipit,1971,Stocked
Pipit,1972,Stocked
Pipit,1977,Decline
Pipit,1991,Decline
Pipit,1992,Absent
Pipit,1993,Absent
Pipit,1994,Absent
Pipit,1995,Absent
Pipit,1996,Absent
Pipit,1997,Absent
Pipit,1998,Absent
Pipit,1999,Absent
Pipit,2000,Absent
Pipit,2001,Absent
Pipit,2002,Absent
Pipit,2003,Absent
Pipit,2004,Absent
Pipit,2005,Absent
Pipit,2006,Absent
Pipit,2007,Absent
Pipit,2008,Absent
Pipit,2009,Absent
Pipit,2013,Absent
Pipit,2022,Absent
Snowflake,1966,Stocked
Snowflake,1967,Stocked
Snowflake,1968,Stocked
Snowflake,1969,Stocked
Snowflake,1970,Stocked
Snowflake,1971,Stocked
Snowflake,1972,Stocked
Snowflake,1973,Stocked
Snowflake,1974,Stocked
Snowflake,1975,Stocked
Snowflake,1977,Stocked
Snowflake,1978,Stocked
Snowflake,1979,Decline
Snowflake,1991,Decline
Snowflake,1992,Absent
Snowflake,1993,Absent
Snowflake,1994,Absent
Snowflake,1995,Absent
Snowflake,1996,Absent
Snowflake,1997,Absent
Snowflake,1998,Absent
Snowflake,1999,Absent
Snowflake,2000,Absent
Snowflake,2001,Absent
Snowflake,2002,Absent
Snowflake,2003,Absent
Snowflake,2004,Absent
Snowflake,2005,Absent
Snowflake,2006,Absent
Snowflake,2007,Absent
Snowflake,2008,Absent
Snowflake,2009,Absent
Snowflake,2013,Absent
Snowflake,2022,Absent
Opabin,2006,Absent
Opabin,2007,Absent
Opabin,2008,Absent
Opabin,2009,Absent
Opabin,2010,Absent
Opabin,2011,Absent
Opabin,2012,Absent
Opabin,2013,Absent
Opabin,2018,Absent
Oesa,2006,Absent
Oesa,2007,Absent
Oesa,2008,Absent
Oesa,2009,Absent
Oesa,2010,Absent
Oesa,2011,Absent
Oesa,2012,Absent
Oesa,2013,Absent
Oesa,2018,Absent
Eiffel,1975,Absent
Eiffel,2007,Absent
Eiffel,2008,Absent
Eiffel,2009,Absent
Eiffel,2010,Absent
Eiffel,2011,Absent
Eiffel,2012,Absent
Eiffel,2013,Absent
Eiffel,2018,Absent
Hungabee,2007,Absent
Hungabee,2008,Absent
Hungabee,2009,Absent
Hungabee,2010,Absent
Hungabee,2011,Absent
Hungabee,2012,Absent
Hungabee,2013,Absent
Hungabee,2017,Absent
Sentinel,1975,Absent
Sentinel,2007,Absent
Sentinel,2009,Absent
Sentinel,2010,Absent
Sentinel,2011,Absent
Sentinel,2012,Absent
Sentinel,2013,Absent
Sentinel,2018,Absent
