Lake,Year
Bighorn,1966
Bighorn,1968
Bighorn,1971
Bighorn,1972
Bighorn,1977
Bighorn,1991
Bighorn,1992
Bighorn,1994
Bighorn,1995
Bighorn,1996
Bighorn,1997
Bighorn,1998
Bighorn,1999
Bighorn,2000
Bighorn,2001
Bighorn,2002
Bighorn,2003
Bighorn,2004
Bighorn,2005
Bighorn,2006
Bighorn,2009
Bighorn,2013
Bighorn,2022
Harrison,1966
Harrison,1967
Harrison,1972
Harrison,1977
Harrison,1996
Harrison,1997
Harrison,1998
Harrison,1999
Harrison,2001
Harrison,2002
Harrison,2003
Harrison,2004
Harrison,2005
Harrison,2006
Harrison,2009
Harrison,2015
Harrison,2022
Pipit,1966
Pipit,1967
Pipit,1968
Pipit,1969
Pipit,1971
Pipit,1972
Pipit,1977
Pipit,1991
Pipit,1992
Pipit,1993
Pipit,1994
Pipit,1995
Pipit,1996
Pipit,1997
Pipit,1998
Pipit,1999
Pipit,2000
Pipit,2001
Pipit,2002
Pipit,2003
Pipit,2004
Pipit,2005
Pipit,2006
Pipit,2007
Pipit,2008
Pipit,2009
Pipit,2013
Pipit,2022
Snowflake,1966
Snowflake,1967
Snowflake,1968
Snowflake,1969
Snowflake,1970
Snowflake,1971
Snowflake,1972
Snowflake,1973
Snowflake,1974
Snowflake,1975
Snowflake,1977
Snowflake,1978
Snowflake,1979
Snowflake,1991
Snowflake,1992
Snowflake,1993
Snowflake,1994
Snowflake,1995
Snowflake,1996
Snowflake,1997
Snowflake,1998
Snowflake,1999
Snowflake,2000
Snowflake,2001
Snowflake,2002
Snowflake,2003
Snowflake,2004
Snowflake,2005
Snowflake,2006
Snowflake,2007
Snowflake,2008
Snowflake,2009
Snowflake,2013
Snowflake,2022
Opabin,2006
Opabin,2007
Opabin,2008
Opabin,2009
Opabin,2010
Opabin,2011
Opabin,2012
Opabin,2013
Opabin,2018
Oesa,2006
Oesa,2007
Oesa,2008
Oesa,2009
Oesa,2010
Oesa,2011
Oesa,2012
Oesa,2013
Oesa,2018
Eiffel,1975
Eiffel,2007
Eiffel,2008
Eiffel,2009
Eiffel,2010
Eiffel,2011
Eiffel,2012
Eiffel,2013
Eiffel,2018
Hungabee,2007
Hungabee,2008
Hungabee,2009
Hungabee,2010
Hungabee,2011
Hungabee,2012
Hungabee,2013
Hungabee,2017
Sentinel,1975
Sentinel,2007
Sentinel,2009
Sentinel,2010
Sentinel,2011
Sentinel,2012
Sentinel,2013
Sentinel,2018
