"","NMDS1","NMDS2"
"Acan.vern",0.759795649272422,-1.01074520084877
"Alon.gutt",1.06912088906989,-1.29194988680819
"Chyd.spha",0.0925545527452126,-0.562290001090493
"CYCLO",0.945199663222541,0.741970144569414
"Daph.midd",-0.592589193463372,0.38495359848335
"Daph.pule",1.70912558435036,0.931238144391518
"Diac.thom",1.7303183965168,0.00251368572967526
"EUCYC",1.16358832295677,1.70248789738863
"HARP",0.146554624625064,1.18568619444519
"Hesp.arct",-0.963487049668686,-0.0678334649810306
"Lept.tyrr",0.306345503171014,-0.87860658493507
"Macr.albi",1.75151033174442,0.762984217582611
