Lake,Year,Fish.Status,Daph.midd,Hesp.arct
Bighorn,1966,Present,0,3.300325313
Bighorn,1968,Present,0,0.128869846
Bighorn,1971,Present,0,0
Bighorn,1972,Present,0,0
Bighorn,1977,Present,0,0
Bighorn,1991,Present,0,0.058230236
Bighorn,1992,Present,0.007387868,0.050819101
Bighorn,1994,Present,0.038786285,0.022233355
Bighorn,1995,Present,0,0
Bighorn,1996,Decline,0,0
Bighorn,1997,Decline,0,0
Bighorn,1998,Decline,6.826387229,0
Bighorn,1999,Decline,4.303431356,0
Bighorn,2000,Decline,16.96900235,0
Bighorn,2001,Decline,22.8152046,0
Bighorn,2002,Absent,25.86003928,0.032524234
Bighorn,2003,Absent,4.36364245,0.03049146
Bighorn,2004,Absent,5.441901331,0.393001079
Bighorn,2005,Absent,13.21426364,1.150205741
Bighorn,2006,Absent,29.29140703,9.025472956
Bighorn,2009,Absent,2.878723429,3.614642009
Bighorn,2013,Absent,4.344064608,0.426880471
Bighorn,2022,Absent,39.89447083,275.2701491
Harrison,1966,Present,0,0
Harrison,1967,Present,0,0
Harrison,1972,Present,0,0
Harrison,1977,Present,0,0
Harrison,1996,Present,0,0
Harrison,1997,Present,0,0
Harrison,1998,Present,0,0
Harrison,1999,Present,0,0
Harrison,2001,Present,0,0
Harrison,2002,Present,0,2.490136108
Harrison,2003,Present,0,0
Harrison,2004,Present,0,0
Harrison,2005,Present,0,0
Harrison,2006,Present,0,0
Harrison,2009,Present,0,0
Harrison,2015,Present,0,0
Harrison,2022,Present,0,0
Pipit,1966,Present,1.370820681,15.71583482
Pipit,1967,Present,0,5.421963013
Pipit,1968,Present,0,0
Pipit,1969,Present,0,0
Pipit,1971,Present,0,0
Pipit,1972,Present,0,0
Pipit,1977,Decline,0,0
Pipit,1991,Decline,0.152423328,10.25490893
Pipit,1992,Absent,0.903652538,29.17016594
Pipit,1993,Absent,1.676656521,13.20583465
Pipit,1994,Absent,0.989662828,66.05725748
Pipit,1995,Absent,0.180576541,35.47326587
Pipit,1996,Absent,3.284722527,37.02127181
Pipit,1997,Absent,0.57703113,14.3541681
Pipit,1998,Absent,4.888433599,14.62876957
Pipit,1999,Absent,0.544368991,22.09293697
Pipit,2000,Absent,2.890599386,56.68336163
Pipit,2001,Absent,3.596677995,15.66550027
Pipit,2002,Absent,2.873037484,31.40134884
Pipit,2003,Absent,5.287352901,21.13693062
Pipit,2004,Absent,2.395252061,33.90677221
Pipit,2005,Absent,6.616004616,9.253922907
Pipit,2006,Absent,6.282018238,17.79916843
Pipit,2007,Absent,5.047879806,5.114486552
Pipit,2008,Absent,8.425251365,26.41101643
Pipit,2009,Absent,0.274164136,4.40043375
Pipit,2013,Absent,0.394019463,3.869780692
Pipit,2022,Absent,72.68838258,139.6584278
Snowflake,1966,Present,0,0.186075484
Snowflake,1967,Present,0,15.47405274
Snowflake,1968,Present,0,16.47986617
Snowflake,1969,Present,0,20.7094406
Snowflake,1970,Present,0,15.551423
Snowflake,1971,Present,0,79.15945108
Snowflake,1972,Present,0,0
Snowflake,1973,Present,0,0
Snowflake,1974,Present,0,0
Snowflake,1975,Present,0,0
Snowflake,1977,Present,0,0
Snowflake,1979,Decline,0,0
Snowflake,1991,Decline,0,0
Snowflake,1992,Absent,0,0
Snowflake,1993,Absent,0,0.111393561
Snowflake,1994,Absent,1.472468986,0.420816924
Snowflake,1995,Absent,1.052790283,2.363661557
Snowflake,1996,Absent,2.210818601,19.70279778
Snowflake,1997,Absent,0.846246362,22.31420678
Snowflake,1998,Absent,3.878629117,18.72453004
Snowflake,1999,Absent,3.279204611,46.46098125
Snowflake,2000,Absent,1.942448803,47.44733385
Snowflake,2001,Absent,4.98345073,46.71107284
Snowflake,2002,Absent,6.490722046,123.3280408
Snowflake,2003,Absent,5.017509548,34.35860829
Snowflake,2004,Absent,3.577647495,53.02566995
Snowflake,2005,Absent,4.99703247,68.40747672
Snowflake,2006,Absent,8.885962789,52.60202342
Snowflake,2007,Absent,3.547973855,37.48962531
Snowflake,2008,Absent,6.534924345,44.04437785
Snowflake,2009,Absent,4.910960438,80.19020552
Snowflake,2013,Absent,4.822798245,57.73050265
Snowflake,2022,Absent,0,682.4158741
