Lake,Year,Daph.midd,Hesp.arct,Yr.mass
Opabin,2006,0,14.23656658,14.23656658
Opabin,2007,0,18.3849322,18.38938877
Opabin,2008,0.028222522,21.82400945,21.8534189
Opabin,2009,1.665781417,13.62015186,15.30022432
Opabin,2010,0.248358163,37.83044009,38.07879825
Opabin,2011,0,10.63698014,10.63698014
Opabin,2012,0.028222522,18.96591085,18.99487087
Opabin,2013,0.124179092,72.69546807,72.81964717
Opabin,2018,8.391942989,37.91798179,47.85599254
Oesa,2006,0,51.25163969,51.25163969
Oesa,2007,0.088878157,12.70540822,12.79428638
Oesa,2008,0.021955086,71.97086512,71.99316143
Oesa,2009,0.045524472,36.91053974,36.95606422
Oesa,2010,0.099995732,24.92025672,25.02025245
Oesa,2011,0,50.54794128,50.54794128
Oesa,2012,0.032678698,4.711683973,4.744362671
Oesa,2013,0.2375355,25.63007585,25.86761135
Oesa,2018,0,17.77680505,17.77680505
Eiffel,1975,2.193313089,71.16130007,73.35495971
Eiffel,2007,0.144547974,20.54527025,20.68981823
Eiffel,2008,4.191044129,197.9178466,202.1088907
Eiffel,2009,1.419548772,71.39194632,72.81149509
Eiffel,2010,5.743282684,152.7761551,158.5194378
Eiffel,2011,6.032563506,65.93309894,71.96566245
Eiffel,2012,0.544138342,20.35375804,20.89789639
Eiffel,2013,2.522387674,68.93669094,71.45907861
Eiffel,2018,4.786515626,21.07392974,26.1536976
Hungabee,2007,24.43094909,78.74109486,103.1720439
Hungabee,2008,10.86566993,50.27287572,61.13854565
Hungabee,2009,13.13570682,166.633806,179.7699214
Hungabee,2010,14.60828957,43.25345747,57.86174704
Hungabee,2011,3.702088973,63.85989895,67.56198793
Hungabee,2012,0.496716347,44.68502335,45.18173969
Hungabee,2013,4.44975054,55.75988575,60.20963629
Hungabee,2017,2.009991792,9.826156167,11.97704243
Sentinel,1975,15.13386031,209.7120999,224.8459602
Sentinel,2007,0.706314478,20.51841647,21.24084592
Sentinel,2009,22.44953981,65.76443814,88.21866666
Sentinel,2010,3.273498664,175.357327,178.6308256
Sentinel,2011,3.259700991,145.0528177,148.3125187
Sentinel,2012,0.667462591,94.78587387,95.45333646
Sentinel,2013,13.41134118,163.2934186,176.7047598
Sentinel,2018,47.13310093,47.47859531,98.30085622
