Mean,Confidence Level(95.0%),HCI,LCI
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
67.24789262,17.85991206,85.10780467,49.38798056
