Lake,FISH,TEMP,STABILITY,TDN,TDP,DOC
Big91,YES,3.7,0,45.45,4.6,10.2
Big92,YES,7.97,0,118.8667,3.1,2.7333
Big94,YES,12.3,11.49,150.7333,2.65,0.2883
Big95,YES,6.1,0.86,90.075,2.9,0.5
Big96,YES,9.533333333,5.54,138.6756,5.2222,0.2067
Big97,YES,7.34,0.95,167.2738,4.9875,0.24
Big98,YES,10.5,7.89,161.4233,6.7333,0.28
Big99,YES,6.333333333,0.44,86.96,0.525,0.5225
Big00,YES,7.1,0.72,107.8275,1.525,0.18
Big01,YES,8.825,1.45,205.2425,2.0333,1.565
Big02,NO,8.26,3.35,127.2829,4.3192,4.1331
Har96,YES,9.311,8.81,114.7545,4.7818,0.3845
Har97,YES,8.94,7.25,126.81,5.1406,0.3692
Har98,YES,8.7889,7.49,97.2833,5.0417,0.3875
Har99,YES,9.2,5.51,138.8533,4.8167,0.5942
Har01,YES,10.51944,8.24,143.58,1.76,1.086
Har02,YES,8.32,6.71,127.2829,2.6472,4.8772
Pip91,NO,5.48,18.38,103.1316,2.5105,9.9895
Pip92,NO,6.563076923,40.02,87.5087,3.7318,2.8826
Pip93,NO,6.03,19.19,78.9158,4.025,0.97
Pip94,NO,7.244375,70.11,143.272,4.592,0.6117
Pip95,NO,3.8675,10,175.8208,3.875,1.175
Pip96,NO,5.136666667,16.11,149.9826,3.4742,0.4369
Pip97,NO,6.599375,46.73,140.7929,4.3125,0.3833
Pip98,NO,8.435,120.18,112.76,3.9412,0.2641
Pip99,NO,5.218333333,14.5,123.7825,4.225,0.4008
Pip00,NO,5.725,25.13,128.3667,3.9167,0.3558
Pip01,NO,6.9975,65.01,130.54,1.45,0.8
Pip02,NO,5.6725,33.53,127.2829,2.91,4.0627
Sno91,NO,6.692561983,5.3,97.0524,2.8905,8.9
Sno92,NO,7.482575758,8.85,84.8037,3.5704,2.4593
Sno93,NO,7.489090909,4.65,93.8704,4.1679,1.1214
Sno94,NO,8.24,16.99,131.9379,6.9345,0.6304
Sno95,NO,5.457024793,4.99,125.5581,2.6613,0.7742
Sno96,NO,6.911212121,6.32,146.2827,3.4818,0.435
Sno97,NO,7.639772727,8.79,213.1688,4.248,0.5083
Sno98,NO,8.34025974,20.65,113.4581,3.5903,0.6074
Sno99,NO,6.628787879,2.8,140.7625,6.2125,0.9244
Sno00,NO,7.364090909,7.29,142.9485,4.05,0.575
Sno01,NO,8.372727273,17.23,150.94,2.95,1.09
Sno02,NO,6.322727273,7.48,127.2829,2.5789,7.1679
